,Payoff parameter: True,Normalized true,Estimated,SE
1,0.3,0.33749999999999997,0.34139351134043616,0.05098603723407389
2,0.2,0.2375,0.24774774332234756,0.05182364028632068
3,-0.27,-0.27,-0.2536487487012884,0.04020438397211982
4,0.45,0.45,0.43656163651888336,0.07988595989123831
5,-2.1,-2.25,-2.2515212282849544,0.020062287940311025
