Constant,Distance,Population,Pop_Square,Train,Flight
1,1.18853,0.47213,0.22291,0,3.1
1,1.10695,0.38846,0.1509,0,3.6
1,1.16221,0.47213,0.22291,0,8.8
1,0.92894,0.67315,0.45313,0,17.1
1,0.09193,0.30134,0.0908,0,1.1
1,0.94796,0.06287,0.00395,0,1.4
1,1.04015,0.38846,0.1509,0,2.6
1,0.34496,0.01177,0.00014,0,2.1
1,0.42042,0.03762,0.00142,0,2.6
1,0.52562,0.03,0.0009,0,2.2
1,0.4899,0.03627,0.00132,0,2.3
1,0.62446,0.03185,0.00101,0,2
1,0.62628,0.06181,0.00382,0,3.1
1,0.73231,0.05477,0.003,0,1.8
1,0.74128,0.06368,0.00405,0,1.9
1,0.95268,0.05751,0.00331,0,1.6
1,0.94979,0.02911,0.00085,0,1.3
1,1.23613,0.14641,0.02144,0,2.3
1,1.32215,0.05125,0.00263,0,2
1,1.31901,0.01944,0.00038,0,2.7
1,1.39661,0.07534,0.00568,0,2.1
1,1.32124,0.02651,0.0007,0,1.9
1,1.42578,0.02085,0.00043,0,2.4
1,1.46886,0.03844,0.00148,0,3.3
1,1.55436,0.13223,0.01749,0,1.9
1,1.54593,0.03168,0.001,0,2.1
1,1.72596,0.03872,0.0015,0,2.2
1,1.66869,0.04824,0.00233,0,2.8
1,1.70686,0.0302,0.00091,0,3
1,1.75995,0.04591,0.00211,0,4.7
1,2.4154,0.03564,0.00127,0,5
1,0.2291,0.14738,0.02172,0,7.2
1,1.61487,0.13223,0.01749,0,8.6
1,0.90466,0.15861,0.02516,0,1.8
1,1.24648,0.23091,0.05332,0,3.7
1,1.15348,0.18999,0.0361,0,4.2
1,1.22062,0.23091,0.05332,0,9.4
1,0.94406,0.32922,0.10839,0,17.7
1,0.23475,0.14738,0.02172,0,1.7
1,1.0111,0.03075,0.00095,0,2
1,1.09067,0.18999,0.0361,0,3.2
1,0.11375,0.06457,0.00417,0,2.1
1,0.23502,0.05148,0.00265,0,1.7
1,0.25041,0.06225,0.00387,0,1.8
1,0.35845,0.05466,0.00299,0,1.5
1,0.37575,0.10607,0.01125,0,2.6
1,0.48161,0.09399,0.00883,0,1.3
1,0.4492,0.10928,0.01194,0,1.4
1,0.6482,0.0987,0.00974,0,1.1
1,0.63553,0.04996,0.0025,0,0.8
1,0.91699,0.25125,0.06313,0,1.8
1,0.99013,0.08796,0.00774,0,1.5
1,0.9787,0.03335,0.00111,0,2.2
1,1.06061,0.12929,0.01672,0,1.6
1,0.99443,0.04549,0.00207,0,1.4
1,1.09954,0.03578,0.00128,0,1.9
1,1.13586,0.06597,0.00435,0,2.8
1,1.21554,0.22693,0.0515,0,1.4
1,1.20945,0.05436,0.00296,0,1.6
1,1.38583,0.06645,0.00442,0,1.7
1,1.33168,0.08279,0.00685,0,2.3
1,1.37704,0.05182,0.00269,0,2.5
1,1.42642,0.07879,0.00621,0,4.2
1,2.08727,0.06116,0.00374,0,4.5
1,0.13496,0.25292,0.06397,0,6.7
1,1.27434,0.22693,0.0515,0,8.1
1,0.66768,0.27218,0.07408,0,1.3
1,0.92836,0.39627,0.15703,0,3.2
1,0.84851,0.32604,0.1063,0,3.7
1,0.90203,0.39627,0.15703,0,8.9
1,0.68746,0.56498,0.3192,0,17.2
1,0.18883,0.25292,0.06397,0,1.2
1,0.68774,0.05276,0.00278,0,1.5
1,0.78101,0.32604,0.1063,0,2.7
1,0.12185,0.16456,0.02708,0,2.2
1,0.14367,0.19898,0.03959,1,2.3
1,0.2447,0.17471,0.03052,0,2
1,0.26243,0.33904,0.11495,1,3.1
1,0.36788,0.30043,0.09026,1,1.8
1,0.33918,0.3493,0.12201,0,1.9
1,0.54325,0.31549,0.09953,0,1.6
1,0.53465,0.1597,0.0255,0,1.3
1,0.81946,0.80313,0.64502,0,2.3
1,0.90178,0.28116,0.07905,0,2
1,0.90068,0.10662,0.01137,0,2.7
1,0.97638,0.41328,0.1708,0,2.1
1,0.90183,0.14542,0.02115,0,1.9
1,1.00663,0.11439,0.01308,0,2.4
1,1.04846,0.21087,0.04447,0,3.3
1,1.13487,0.72537,0.52616,0,1.9
1,1.12572,0.17377,0.0302,0,2.1
1,1.30705,0.21242,0.04512,0,2.2
1,1.24855,0.26465,0.07004,0,2.8
1,1.28694,0.16564,0.02744,0,3
1,1.33954,0.25186,0.06343,0,4.7
1,1.99613,0.1955,0.03822,0,5
1,0.23994,0.80845,0.65359,0,7.2
1,1.19633,0.72537,0.52616,0,8.6
1,0.55396,0.87004,0.75698,1,1.8
1,0.8303,1.26668,1.60447,0,3.7
1,0.74452,1.04219,1.08616,0,4.2
1,0.80417,1.26668,1.60447,0,9.4
1,0.5741,1.80597,3.26153,1,17.7
1,0.30015,0.80845,0.65359,0,1.7
1,0.59228,0.16866,0.02845,0,2
1,0.6786,1.04219,1.08616,0,3.2
1,0.08266,0.15865,0.02517,1,1.9
1,0.12493,0.1393,0.01941,0,1.6
1,0.14726,0.27033,0.07308,1,2.7
1,0.24839,0.23954,0.05738,1,1.4
1,0.21961,0.27851,0.07757,0,1.5
1,0.42805,0.25155,0.06328,0,1.2
1,0.42425,0.12733,0.01621,0,0.9
1,0.71073,0.64036,0.41006,0,1.9
1,0.80253,0.22418,0.05025,0,1.6
1,0.8129,0.08501,0.00723,0,2.3
1,0.88115,0.32952,0.10859,0,1.7
1,0.79796,0.11595,0.01344,0,1.5
1,0.90193,0.0912,0.00832,0,2
1,0.94939,0.16813,0.02827,0,2.9
1,1.04257,0.57836,0.3345,0,1.5
1,1.03019,0.13855,0.0192,0,1.7
1,1.21593,0.16937,0.02869,0,1.8
1,1.1531,0.21101,0.04453,0,2.4
1,1.18418,0.13207,0.01744,0,2.6
1,1.23992,0.20082,0.04033,0,4.3
1,1.89112,0.15588,0.0243,0,4.6
1,0.36088,0.64461,0.41552,0,6.8
1,1.10654,0.57836,0.3345,0,8.2
1,0.43436,0.69372,0.48124,1,1.4
1,0.72096,1.00996,1.02003,0,3.3
1,0.62939,0.83097,0.69052,0,3.8
1,0.69518,1.00996,1.02003,0,9
1,0.45244,1.43996,2.07349,1,17.3
1,0.42198,0.64461,0.41552,0,1.3
1,0.48772,0.13448,0.01808,0,1.6
1,0.5654,0.83097,0.69052,0,2.8
1,0.13477,0.16844,0.02837,0,1.7
1,0.13822,0.32687,0.10684,1,2.8
1,0.24659,0.28964,0.08389,1,1.5
1,0.25601,0.33676,0.11341,0,1.6
1,0.46837,0.30416,0.09251,0,1.3
1,0.47247,0.15396,0.0237,0,1
1,0.75769,0.77429,0.59952,0,2
1,0.85887,0.27106,0.07347,0,1.7
1,0.87762,0.10279,0.01057,0,2.4
1,0.94039,0.39844,0.15876,0,1.8
1,0.84993,0.1402,0.01966,0,1.6
1,0.95245,0.11028,0.01216,0,2.1
1,1.00516,0.2033,0.04133,0,3
1,1.10335,0.69932,0.48905,0,1.6
1,1.08859,0.16753,0.02807,0,1.8
1,1.27706,0.2048,0.04194,0,1.9
1,1.21119,0.25514,0.0651,0,2.5
1,1.23567,0.15969,0.0255,0,2.7
1,1.29424,0.24282,0.05896,0,4.4
1,1.9389,0.18848,0.03552,0,4.7
1,0.3579,0.77942,0.60749,0,6.9
1,1.16886,0.69932,0.48905,0,8.3
1,0.42851,0.8388,0.70359,1,1.5
1,0.76704,1.22119,1.4913,0,3.4
1,0.66705,1.00477,1.00955,0,3.9
1,0.74191,1.22119,1.4913,0,9.1
1,0.45902,1.74112,3.03149,1,17.4
1,0.42449,0.77942,0.60749,0,1.4
1,0.54186,0.1626,0.02644,0,1.7
1,0.6072,1.00477,1.00955,0,2.9
1,0.0339,0.287,0.08237,1,2.5
1,0.1235,0.25432,0.06468,1,1.2
1,0.12538,0.29569,0.08743,0,1.3
1,0.33581,0.26706,0.07132,0,1
1,0.34402,0.13518,0.01827,0,0.7
1,0.62667,0.67986,0.4622,0,1.7
1,0.73374,0.238,0.05664,0,1.4
1,0.76163,0.09025,0.00815,0,2.1
1,0.81764,0.34985,0.12239,0,1.5
1,0.7215,0.1231,0.01515,0,1.3
1,0.82282,0.09683,0.00938,0,1.8
1,0.87906,0.1785,0.03186,0,2.7
1,0.98161,0.61403,0.37704,0,1.3
1,0.96453,0.1471,0.02164,0,1.5
1,1.15524,0.17982,0.03233,0,1.6
1,1.08654,0.22403,0.05019,0,2.2
1,1.10611,0.14022,0.01966,0,2.4
1,1.16643,0.2132,0.04546,0,4.1
1,1.80696,0.16549,0.02739,0,4.4
1,0.47984,0.68436,0.46835,0,6.6
1,1.04864,0.61403,0.37704,0,8
1,0.30959,0.7365,0.54243,1,1.2
1,0.63557,1.07225,1.14972,0,3.1
1,0.53302,0.88222,0.77832,0,3.6
1,0.61083,1.07225,1.14972,0,8.8
1,0.33085,1.52877,2.33713,1,17.1
1,0.54325,0.68436,0.46835,0,1.1
1,0.41712,0.14277,0.02038,0,1.4
1,0.47451,0.88222,0.77832,0,2.6
1,0.10863,0.49353,0.24357,1,2.3
1,0.1415,0.57381,0.32925,0,2.4
1,0.34535,0.51826,0.26859,0,2.1
1,0.35811,0.26234,0.06882,0,1.8
1,0.63696,1.31932,1.74062,0,2.8
1,0.74869,0.46186,0.21332,0,2.5
1,0.78128,0.17514,0.03068,0,3.2
1,0.83385,0.67891,0.46092,0,2.6
1,0.73405,0.23889,0.05707,0,2.4
1,0.83414,0.18791,0.03531,0,2.9
1,0.89308,0.34641,0.12,0,3.8
1,0.99813,1.19159,1.41988,0,2.4
1,0.97975,0.28546,0.08149,0,2.6
1,1.17154,0.34896,0.12177,0,2.7
1,1.10126,0.43474,0.189,0,3.3
1,1.11716,0.27211,0.07404,0,3.5
1,1.1789,0.41374,0.17118,0,5.2
1,1.81515,0.32115,0.10314,0,5.5
1,0.49259,1.32807,1.76376,0,7.7
1,1.06587,1.19159,1.41988,0,9.1
1,0.29295,1.42925,2.04275,1,2.3
1,0.64533,2.08081,4.32976,0,4.2
1,0.5388,1.71204,2.93108,0,4.7
1,0.62109,2.08081,4.32976,0,9.9
1,0.32082,2.96672,8.80144,1,18.2
1,0.55756,1.32807,1.76376,0,2.2
1,0.43347,0.27706,0.07676,0,2.5
1,0.48308,1.71204,2.93108,0,3.7
1,0.11511,0.50846,0.25853,0,1.1
1,0.26713,0.45924,0.2109,0,0.8
1,0.29205,0.23246,0.05404,0,0.5
1,0.55451,1.16907,1.36673,0,1.5
1,0.67703,0.40926,0.1675,0,1.2
1,0.72384,0.1552,0.02409,0,1.9
1,0.76512,0.6016,0.36192,0,1.3
1,0.65617,0.21169,0.04481,0,1.1
1,0.75257,0.16651,0.02772,0,1.6
1,0.81789,0.30695,0.09422,0,2.5
1,0.9293,1.05588,1.11489,0,1.1
1,0.90732,0.25295,0.06398,0,1.3
1,1.10128,0.30921,0.09561,0,1.4
1,1.02694,0.38523,0.1484,0,2
1,1.03376,0.24112,0.05814,0,2.2
1,1.0986,0.36662,0.13441,0,3.9
1,1.72472,0.28458,0.08099,0,4.2
1,0.60078,1.17682,1.3849,0,6.4
1,0.99879,1.05588,1.11489,0,7.8
1,0.18613,1.26648,1.60397,1,1
1,0.56158,1.84383,3.39972,0,2.9
1,0.44781,1.51706,2.30148,0,3.4
1,0.53875,1.84383,3.39972,0,8.6
1,0.21257,2.62886,6.91089,1,16.9
1,0.66523,1.17682,1.3849,0,0.9
1,0.3714,0.24551,0.06027,0,1.2
1,0.39874,1.51706,2.30148,0,2.4
1,0.21246,0.53394,0.28509,0,0.9
1,0.21864,0.27027,0.07305,0,0.6
1,0.50202,1.35924,1.84754,0,1.6
1,0.6086,0.47584,0.22642,0,1.3
1,0.63987,0.18044,0.03256,0,2
1,0.69301,0.69945,0.48924,0,1.4
1,0.59616,0.24612,0.06058,0,1.2
1,0.6977,0.19359,0.03748,0,1.7
1,0.75374,0.35689,0.12737,0,2.6
1,0.85717,1.22764,1.50711,0,1.2
1,0.83951,0.2941,0.08649,0,1.4
1,1.0307,0.35951,0.12925,0,1.5
1,0.96138,0.4479,0.20061,0,2.1
1,0.981,0.28034,0.07859,0,2.3
1,1.04107,0.42626,0.1817,0,4
1,1.68299,0.33087,0.10948,0,4.3
1,0.57912,1.36825,1.87211,0,6.5
1,0.92464,1.22764,1.50711,0,7.9
1,0.25661,1.47249,2.16823,1,1.1
1,0.5112,2.14376,4.59573,0,3
1,0.4123,1.76384,3.11113,0,3.5
1,0.48621,2.14376,4.59573,0,8.7
1,0.25162,3.05648,9.3421,1,17
1,0.63793,1.36825,1.87211,0,1
1,0.29244,0.28544,0.08148,0,1.3
1,0.35126,1.76384,3.11113,0,2.5
1,0.05069,0.24411,0.05959,0,0.3
1,0.29161,1.22765,1.50714,0,1.3
1,0.40992,0.42977,0.1847,0,1
1,0.46325,0.16297,0.02656,0,1.7
1,0.49832,0.63174,0.3991,0,1.1
1,0.3902,0.22229,0.04941,0,0.9
1,0.489,0.17485,0.03057,0,1.4
1,0.55118,0.32234,0.1039,0,2.3
1,0.66233,1.10879,1.22942,0,0.9
1,0.64023,0.26563,0.07056,0,1.1
1,0.83415,0.32471,0.10544,0,1.2
1,0.76016,0.40454,0.16365,0,1.8
1,0.77185,0.2532,0.06411,0,2
1,0.83434,0.38499,0.14822,0,3.7
1,1.47115,0.29884,0.08931,0,4
1,0.78147,1.23579,1.52717,0,6.2
1,0.73207,1.10879,1.22942,0,7.6
1,0.25195,1.32994,1.76874,1,0.8
1,0.30007,1.93623,3.74897,0,2.7
1,0.20142,1.59308,2.53791,0,3.2
1,0.27574,1.93623,3.74897,0,8.4
1,0.1927,2.76059,7.62083,1,16.7
1,0.83631,1.23579,1.52717,0,0.7
1,0.11848,0.25781,0.06647,0,1
1,0.13884,1.59308,2.53791,0,2.2
1,0.28655,0.62143,0.38617,0,1
1,0.39058,0.21755,0.04733,0,0.7
1,0.43188,0.0825,0.00681,0,1.4
1,0.47635,0.31978,0.10226,0,0.8
1,0.37772,0.11252,0.01266,0,0.6
1,0.47998,0.08851,0.00783,0,1.1
1,0.53521,0.16316,0.02662,0,2
1,0.64077,0.56126,0.31501,0,0.6
1,0.62166,0.13446,0.01808,0,0.8
1,0.81387,0.16436,0.02702,0,0.9
1,0.74317,0.20477,0.04193,0,1.5
1,0.7632,0.12817,0.01643,0,1.7
1,0.82253,0.19488,0.03798,0,3.4
1,1.46764,0.15127,0.02288,0,3.7
1,0.76996,0.62555,0.39131,0,5.9
1,0.70925,0.56126,0.31501,0,7.3
1,0.29918,0.6732,0.4532,0,0.5
1,0.29671,0.9801,0.9606,0,2.4
1,0.21587,0.8064,0.65029,0,2.9
1,0.27095,0.9801,0.9606,0,8.1
1,0.24234,1.39738,1.95268,0,16.4
1,0.8221,0.62555,0.39131,0,0.4
1,0.07965,0.1305,0.01703,0,0.7
1,0.14614,0.8064,0.65029,0,1.9
1,0.14891,1.09407,1.19699,1,1.7
1,0.25629,0.41488,0.17213,0,2.4
1,0.23743,1.60822,2.58637,1,1.8
1,0.10727,0.56589,0.32023,0,1.6
1,0.19807,0.44511,0.19812,0,2.1
1,0.26912,0.82057,0.67333,0,3
1,0.39148,2.82265,7.96737,1,1.6
1,0.36187,0.67621,0.45725,0,1.8
1,0.55657,0.82661,0.68328,0,1.9
1,0.47666,1.02983,1.06054,0,2.5
1,0.48031,0.64457,0.41547,0,2.7
1,0.54408,0.98007,0.96055,0,4.4
1,1.18137,0.76076,0.57875,0,4.7
1,1.05191,3.14594,9.89697,0,6.9
1,0.46312,2.82265,7.96737,1,8.3
1,0.48022,3.38562,11.46245,1,1.5
1,0.01361,4.92904,24.29548,1,3.4
1,0.12467,4.0555,16.44711,1,3.9
1,0.01587,4.92904,24.29548,1,9.1
1,0.40933,7.02761,49.38736,1,17.4
1,1.10107,3.14594,9.89697,0,1.4
1,0.22984,0.65631,0.43074,0,1.7
1,0.1558,4.0555,16.44711,0,2.9
1,0.12551,0.14524,0.02109,0,2.1
1,0.09074,0.563,0.31697,1,1.5
1,0.05816,0.19811,0.03925,0,1.3
1,0.12583,0.15582,0.02428,0,1.8
1,0.14689,0.28726,0.08252,0,2.7
1,0.25274,0.98814,0.97643,1,1.3
1,0.23109,0.23672,0.05604,0,1.5
1,0.42427,0.28938,0.08374,0,1.6
1,0.3528,0.36052,0.12997,0,2.2
1,0.3872,0.22565,0.05092,0,2.4
1,0.43786,0.3431,0.11772,0,4.1
1,1.09747,0.26632,0.07093,0,4.4
1,1.12438,1.10132,1.2129,0,6.6
1,0.32325,0.98814,0.97643,1,8
1,0.62243,1.18522,1.40476,1,1.2
1,0.15144,1.72554,2.97748,1,3.1
1,0.2723,1.41973,2.01564,1,3.6
1,0.16047,1.72554,2.97748,1,8.8
1,0.5516,2.4602,6.05257,1,17.1
1,1.16739,1.10132,1.2129,0,1.1
1,0.31712,0.22976,0.05279,0,1.4
1,0.28832,1.41973,2.01564,0,2.6
1,0.10942,0.21349,0.04558,0,2.2
1,0.18343,0.07512,0.00564,0,2
1,0.22795,0.05909,0.00349,0,2.5
1,0.19501,0.10893,0.01187,0,3.4
1,0.23812,0.37471,0.14041,0,2
1,0.23992,0.08977,0.00806,0,2.2
1,0.40716,0.10973,0.01204,0,2.3
1,0.35755,0.13671,0.01869,0,2.9
1,0.43015,0.08557,0.00732,0,3.1
1,0.46174,0.13011,0.01693,0,4.8
1,1.12783,0.10099,0.0102,0,5.1
1,1.11033,0.41763,0.17442,0,7.3
1,0.29586,0.37471,0.14041,0,8.7
1,0.69848,0.44945,0.202,0,1.9
1,0.26281,0.65434,0.42816,0,3.8
1,0.36932,0.53838,0.28985,0,4.3
1,0.26353,0.65434,0.42816,0,9.5
1,0.62919,0.93293,0.87036,0,17.8
1,1.14712,0.41763,0.17442,0,1.8
1,0.35244,0.08713,0.00759,0,2.1
1,0.36543,0.53838,0.28985,0,3.3
1,0.13464,0.2912,0.0848,0,1.4
1,0.13043,0.22905,0.05246,0,1.9
1,0.08622,0.42226,0.1783,0,2.8
1,0.16442,1.45251,2.1098,1,1.4
1,0.14935,0.34797,0.12108,0,1.6
1,0.33769,0.42537,0.18094,0,1.7
1,0.27225,0.52994,0.28084,0,2.3
1,0.32716,0.33169,0.11002,0,2.5
1,0.36705,0.50434,0.25436,0,4.2
1,1.0326,0.39148,0.15326,0,4.5
1,1.19392,1.61888,2.62076,0,6.7
1,0.23376,1.45251,2.1098,1,8.1
1,0.71315,1.74221,3.03531,1,1.3
1,0.23829,2.53644,6.43355,1,3.2
1,0.36177,2.08693,4.35527,1,3.7
1,0.24992,2.53644,6.43355,1,8.9
1,0.64232,3.61635,13.07799,1,17.2
1,1.2341,1.61888,2.62076,0,1.2
1,0.40058,0.33773,0.11406,0,1.5
1,0.37895,2.08693,4.35527,1,2.7
1,0.10512,0.0806,0.0065,0,1.7
1,0.16278,0.14858,0.02208,0,2.6
1,0.28426,0.5111,0.26123,0,1.2
1,0.25494,0.12244,0.01499,0,1.4
1,0.44982,0.14968,0.0224,0,1.5
1,0.37144,0.18647,0.03477,0,2.1
1,0.38625,0.11671,0.01362,0,2.3
1,0.44496,0.17746,0.03149,0,4
1,1.09431,0.13775,0.01898,0,4.3
1,1.12924,0.56964,0.32449,0,6.5
1,0.35593,0.5111,0.26123,0,7.9
1,0.58747,0.61304,0.37582,0,1.1
1,0.10567,0.89251,0.79658,0,3
1,0.23146,0.73434,0.53925,0,3.5
1,0.12164,0.89251,0.79658,0,8.7
1,0.51657,1.2725,1.61927,0,17
1,1.17493,0.56964,0.32449,0,1
1,0.31033,0.11884,0.01412,0,1.3
1,0.25948,0.73434,0.53925,0,2.5
1,0.09335,0.11687,0.01366,0,3.1
1,0.22184,0.40202,0.16162,0,1.7
1,0.18216,0.09631,0.00928,0,1.9
1,0.37,0.11773,0.01386,0,2
1,0.28479,0.14667,0.02151,0,2.6
1,0.28331,0.0918,0.00843,0,2.8
1,0.34604,0.13959,0.01948,0,4.5
1,0.98963,0.10835,0.01174,0,4.8
1,1.23435,0.44806,0.20076,0,7
1,0.29081,0.40202,0.16162,0,8.4
1,0.67004,0.4822,0.23251,0,1.6
1,0.19135,0.70202,0.49283,0,3.5
1,0.31347,0.57761,0.33363,0,4
1,0.21386,0.70202,0.49283,0,9.2
1,0.59976,1.00091,1.00182,0,17.5
1,1.27998,0.44806,0.20076,0,1.5
1,0.41468,0.09347,0.00874,0,1.8
1,0.35384,0.57761,0.33363,0,3
1,0.12938,0.74112,0.54926,0,2.6
1,0.09342,0.17755,0.03152,0,2.8
1,0.28749,0.21704,0.0471,0,2.9
1,0.20905,0.27039,0.07311,0,3.5
1,0.24417,0.16924,0.02864,0,3.7
1,0.29109,0.25733,0.06622,0,5.4
1,0.95304,0.19975,0.0399,0,5.7
1,1.26985,0.82601,0.68229,0,7.9
1,0.19973,0.74112,0.54926,0,9.3
1,0.74879,0.88894,0.79021,0,2.5
1,0.26564,1.29418,1.67491,0,4.4
1,0.39153,1.06482,1.13385,0,4.9
1,0.284,1.29418,1.67491,0,10.1
1,0.67799,1.84519,3.40472,0,18.4
1,1.31178,0.82601,0.68229,0,2.4
1,0.46331,0.17232,0.02969,0,2.7
1,0.42222,1.06482,1.13385,0,3.9
1,0.04608,0.61074,0.373,0,1.4
1,0.17374,0.74658,0.55738,0,1.5
1,0.1212,0.93012,0.86512,0,2.1
1,0.22143,0.58216,0.33891,0,2.3
1,0.23166,0.88518,0.78355,0,4
1,0.89328,0.6871,0.47211,0,4.3
