price,pi1,pi2
173.0,10.262324934511271,6757.280038914639
174.0,23.482287058209476,6772.21345937966
175.0,36.44786889609881,6786.874201629184
176.0,49.163102700084565,6801.266492382003
177.0,61.63196354804153,6815.394499378617
178.0,73.85837003014632,6829.262332076029
179.0,85.84618493024055,6842.8740423377785
180.0,97.59921590215002,6856.233625119106
181.0,109.12121614090691,6869.34501914725
182.0,120.41588504881453,6882.212107596744
183.0,131.48686889629695,6894.838718759683
184.0,142.3377614774965,6907.228626710904
185.0,152.9721047605609,6919.3855519680155
186.0,163.39338953258383,6931.313162146234
187.0,173.605056039161,6943.015072607976
188.0,183.61049461852204,6954.494847107174
189.0,193.41304633021326,6965.755998428253
190.0,203.01600357829156,6976.801989019769
191.0,212.42261072901428,6987.636231622629
192.00000000000003,221.63606472299756,6998.262089892916
193.00000000000003,230.65951568181714,7008.682879019244
194.00000000000003,239.49606750905136,7018.901866334649
195.00000000000003,248.14877848572385,7028.922271922998
196.00000000000003,256.6206618601666,7038.747269219859
197.00000000000003,264.91468643226546,7048.37998560787
198.00000000000003,273.03377713210006,7057.82350300656
199.00000000000003,280.98081559295997,7067.08085845661
200.0,288.7586407187459,7076.155044698581
201.00000000000003,296.37004924574865,7085.049010746044
202.00000000000006,303.81779629880475,7093.765662453177
203.00000000000003,311.1045959418421,7102.307863076773
204.0,318.2331217228144,7110.678433832684
205.00000000000003,325.2060072130343,7118.880154446711
206.00000000000006,332.02584654091015,7126.915763699914
207.00000000000003,338.6951949201094,7134.787959968403
208.0,345.2165691721428,7142.49940175755
209.00000000000003,351.5924482434054,7150.052708230689
210.00000000000006,357.8252737166721,7157.450459732289
211.00000000000003,363.9174503170757,7164.695198305619
212.0,369.871346412586,7171.789428204919
213.00000000000003,375.6892945090021,7178.735616402108
214.00000000000006,381.3735917394934,7185.536193087998
215.00000000000003,386.9265003486944,7192.193552168137
216.0,392.35024817139663,7198.710051753152
217.00000000000003,397.6470291058504,7205.088014643777
218.00000000000006,402.8190035817027,7211.329728810439
219.00000000000003,407.86829902260706,7217.437447867556
220.00000000000003,412.7970103035314,7223.413391542469
221.00000000000003,417.60720020278035,7229.259746139118
222.00000000000006,422.3008998487838,7234.97866499641
223.00000000000006,426.88010916166445,7240.5722689413815
224.00000000000003,431.346797289633,7246.042646737139
225.00000000000006,435.70290304022524,7251.391855525619
226.00000000000006,439.9503353064269,7256.621921265208
227.00000000000006,444.0909734877269,7261.73483916324
228.00000000000003,448.1266679061073,7266.732574103414
229.00000000000006,452.0592402170389,7271.617061068168
230.00000000000006,455.8904838154946,7276.39020555603
231.00000000000006,459.62216423702426,7281.053883993986
232.00000000000003,463.2560195539432,7285.609944144925
233.00000000000006,466.7937607666271,7290.060205510136
234.00000000000009,470.23707219002216,7294.406459726982
235.00000000000006,473.58761183533335,7298.650470961687
236.00000000000003,476.8470117869883,7302.793976297361
237.00000000000006,480.0168785748828,7306.838686117256
238.00000000000009,483.0987935419577,7310.786284483287
239.00000000000006,486.09431320715595,7314.638429509878
240.00000000000003,489.0049696237742,7318.396753733168
241.00000000000006,491.83227073328385,7322.062864475596
242.00000000000009,494.57770071463136,7325.638344205937
243.00000000000006,497.24272032907743,7329.124750894791
244.00000000000003,499.82876726061033,7332.523618365603
245.00000000000006,502.3372564519671,7335.836456641228
246.00000000000009,504.7695804363246,7339.06475228608
247.00000000000006,507.12710966466767,7342.209968743923
248.00000000000006,509.4111928289148,7345.273546671341
249.00000000000006,511.62315718081294,7348.256904266922
250.00000000000009,513.7643088466558,7351.161437596166
251.00000000000006,515.8359331378703,7353.988520912248
252.00000000000006,517.8392948574962,7356.739506972543
253.00000000000006,519.7756386026226,7359.415727351113
254.00000000000009,521.6461890628051,7362.018492747028
255.00000000000006,523.4521513145138,7364.5490932887105
256.00000000000006,525.1947111116527,7367.0087988342475
257.00000000000006,526.8750351721845,7369.398859267751
258.0000000000001,528.4942714609214,7371.720504791798
259.00000000000006,530.0535494684863,7373.974946215999
260.00000000000006,531.5539804865322,7376.163375241722
261.00000000000006,532.9966578792229,7378.286964743021
262.0000000000001,534.3826573510356,7380.346869043819
263.00000000000006,535.7130372109143,7382.344224191355
264.00000000000006,536.988838632828,7384.280148225972
265.00000000000006,538.2110859127632,7386.155741447273
266.0000000000001,539.380786722187,7387.97208667665
267.00000000000006,540.4989323580344,7389.730249516295
268.00000000000006,541.5664979892555,7391.431278604682
269.00000000000006,542.5844428999502,7393.076205868563
270.0000000000001,543.553710729142,7394.666046771522
271.0000000000001,544.475229707235,7396.201800559155
272.00000000000006,545.3499128891649,7397.6844505008785
273.0000000000001,546.1786583843226,7399.114964128393
274.0000000000001,546.9623495832551,7400.494293470898
275.0000000000001,547.7018553812015,7401.823375287052
276.00000000000006,548.3980303984894,7403.103131293705
277.0000000000001,549.051715197847,7404.3344683914975
278.0000000000001,549.6637364986383,7405.518278887302
279.0000000000001,550.2349073880903,7406.655440713559
280.00000000000006,550.7660275295351,7407.746817644608
281.0000000000001,551.257883367697,7408.793259509928
282.0000000000001,551.7112483310694,7409.7956024044515
283.0000000000001,552.1268830314194,7410.7546688958955
284.00000000000006,552.5055354604534,7411.6712682292
285.0000000000001,552.8479411836646,7412.546196528068
286.0000000000001,553.1548235314248,7413.380236993688
287.0000000000001,553.426893787335,7414.174160100639
288.00000000000006,553.6648513738775,7414.928723790022
289.0000000000001,553.8693840353964,7415.644673659847
290.0000000000001,554.0411680184577,7416.322743152752
291.0000000000001,554.1808682495881,7416.963653740998
292.00000000000006,554.2891385104734,7417.568115108873
