"変数","属性","割合"
"性別","女性",0.338983050847458
"","男性",0.661016949152542
"成人かどうか","成人",0.529661016949153
"","未成年",0.470338983050847
"実家暮らしかどうか","実家暮らし",0.741525423728814
"","実家暮らしでない",0.258474576271186
"出身地方","海外",0.0508474576271186
"","関西",0.0932203389830508
"","関東",0.855932203389831
