NameID,year,Maker,Type,Name,Sales,Model,price,kata,capacity,FuelType,FuelEfficiency,HH,size,hppw,share,share0,hppw_sum_own,FuelEfficiency_sum_own,size_sum_own,hppw_sqr_sum_own,FuelEfficiency_sqr_sum_own,size_sqr_sum_own,hppw_sum_mkt,FuelEfficiency_sum_mkt,size_sum_mkt,hppw_sqr_sum_mkt,FuelEfficiency_sqr_sum_mkt,size_sqr_sum_mkt,iv_BLP_own_hppw,iv_BLP_own_FuelEfficiency,iv_BLP_own_size,iv_BLP_other_hppw,iv_BLP_other_FuelEfficiency,iv_BLP_other_size,iv_BLP_own_num,iv_BLP_other_num,iv_GH_own_hppw,iv_GH_own_FuelEfficiency,iv_GH_own_size,iv_GH_other_hppw,iv_GH_other_FuelEfficiency,iv_GH_other_size,logit_share,iv_GH_own_hppw_nest,iv_GH_own_FuelEfficiency_nest,iv_GH_own_size_nest,iv_GH_other_hppw_nest,iv_GH_other_FuelEfficiency_nest,iv_GH_other_size_nest,sum_year_body,inside_share,log_inside_share,Foreign_d,FuelRegular_d,capacity_d,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
14,2011,Audi,Foreign,A1シリーズ,4206,1.4 TFSI,2.9980373831775706,DBA-8XCAX,4,ハイオク,19.4,53783435,9.947232,0.10252100840336134,7.820251718768056e-5,0.9389811007794501,0.29906098344895116,49.4,33.139717499999996,0.02994281879179969,831.48,369.0742923421942,1.938752810065008,276.2,218.56374249,0.2070442477828547,4206.04,2550.9662034341072,0.19653997504558982,30,23.192485499999997,15.722896743681806,2464.5,1811.610311865,2,157,1.5442308935109672e-4,43.83999999999992,6.619648953746321,0.21631547936117723,5703.330000000002,1332.3295934361013,-9.393248794888425,1.5442308935109672e-4,43.83999999999992,6.619648953746321,0.009064624544873057,596.4800000000014,76.13911258244161,143357,0.029339341643589083,-3.528825945387868,1,0,0,0,0,0,0,1,0,0,0,0,0
14,2012,Audi,Foreign,A1シリーズ,4502,1.4 TFSI,2.835,DBA-8XCAX,4,ハイオク,19.4,54171475,9.947232,0.10252100840336134,8.310646885653381e-5,0.9197618488328037,0.30998383543140573,49.8,33.179137499999996,0.03237690406629354,842.36,370.05068238019413,1.8396859103563474,298.3,215.50878025,0.1825244446706816,4896.57,2484.0165767460976,0.2074628270280444,30.4,23.231905499999996,16.185120847671307,2659.2999999999997,1891.364785625,2,164,3.4886476408114986e-4,39.20000000000027,6.811799220866192,0.220619825588527,6457.490000000005,1428.5058819125188,-9.311747512476876,3.4886476408114986e-4,39.20000000000027,6.811799220866192,0.004663256673023031,434.1700000000001,69.77417193235124,159210,0.02827711827146536,-3.5657023430233727,1,0,0,0,0,0,0,0,1,0,0,0,0
14,2013,Audi,Foreign,A1シリーズ,5071,1.4 TFSI,2.823260869565218,DBA-8XCAX,4,ハイオク,19.4,54594744,9.947232,0.10252100840336134,9.288439927477268e-5,0.9195631909181587,0.31182836771072064,52.7,33.54557325,0.03271446076404958,947.05,378.1203036252755,1.9598601869589216,334.4,228.398623,0.19662557373756176,5760.2,2656.0983685931533,0.2093073593073593,33.300000000000004,23.598341249999997,15.538474436893932,2762.2000000000003,1857.627278875,2,161,3.0821484322135495e-4,31.36999999999989,7.5913776292595685,0.20162750949406627,6612.259999999995,1400.5591988097513,-9.200298342381247,3.0821484322135495e-4,31.36999999999989,7.5913776292595685,0.004674816781924329,281.3099999999995,83.58729727730224,191874,0.02642880223479992,-3.633300869788614,1,0,0,0,0,0,0,0,0,1,0,0,0
15,2006,Audi,Foreign,A3シリーズ,4830,アトラクション,2.918888888888889,GH-8PBSE,5,ハイオク,12.2,51102005,10.815125749999998,0.075,9.451683940776884e-5,0.9152275336359111,0.16343537414965986,23.4,22.420219249999995,0.013445815400990328,274.28,251.64514013205525,1.9787421485653238,224.8,231.473436,0.20799780854016267,2577.22,2715.9635052205595,0.08843537414965986,11.2,11.605093499999997,16.160872653184775,2391,1840.9026385,1,163,1.8050927854134854e-4,1,0.6240490460401134,0.2553132574247594,4557.360000000001,1004.2912029808358,-9.178149970568484,1.8050927854134854e-4,1,0.6240490460401134,0.023505976976822773,67.89999999999964,47.84971969162689,169488,0.028497592749929197,-3.557935660189659,1,0,1,0,0,0,0,0,0,0,0,0,0
15,2007,Audi,Foreign,A3シリーズ,3874,アトラクション,2.9394444444444447,GH-8PBSE,5,ハイオク,12.2,51713048,10.815125749999998,0.075,7.491339516479477e-5,0.9201741889203668,0.31268910549294343,35.4,33.110987249999994,0.0357224917208834,418.28,365.93766056187917,2.0899660199093097,225.1,232.358359,0.23090845185400127,2583.73,2733.0644465988803,0.23768910549294342,23.2,22.295861499999994,16.0533523519593,2382,1839.158933875,2,162,0.005694125896941883,1.0399999999999636,0.6395138960251643,0.25281060045889525,4335.919999999998,1039.1139366124553,-9.415985551701917,0.005694125896941883,1.0399999999999636,0.6395138960251643,0.02421942297066293,67.05000000000018,45.79408917182809,162015,0.023911366231521774,-3.733401358553743,1,0,1,1,0,0,0,0,0,0,0,0,0
15,2008,Audi,Foreign,A3シリーズ,3683,1.4 TFSI,3.0294219066937127,ABA-8PCAX,5,ハイオク,15.8,52324877,10.827745499999999,0.09057971014492754,7.038716975865992e-5,0.9235641012591391,0.34579370638887336,40,33.883253499999995,0.041708937947650675,542.48,384.41938831019417,2.0520495455514545,237.8,229.999133625,0.2209311598098878,2912.84,2689.365107525889,0.2552139962439458,24.2,23.055507999999996,16.027986782675104,2408.6,1838.3881150000002,2,162,0.0036792022281792874,27.40000000000009,2.381114928536533,0.21955645601260443,3224.4000000000087,1073.2142268209718,-9.481984488621293,0.0036792022281792874,27.40000000000009,2.381114928536533,0.009597529302328212,363.7599999999993,51.04127662877272,136547,0.026972397782448535,-3.612941240241074,1,0,1,0,1,0,0,0,0,0,0,0,0
15,2009,Audi,Foreign,A3シリーズ,4338,1.4 TFSI,3.073055555555556,ABA-8PCAX,5,ハイオク,15.8,52877802,10.827745499999999,0.09057971014492754,8.203820574841595e-5,0.9291896626111653,0.1965399750455898,29.200000000000003,23.192485499999997,0.019432261627757606,429.20000000000005,270.1268678803702,2.002974944848687,241.1,233.0700205,0.20829926138987317,3000.29,2764.9558440070955,0.10596026490066225,13.400000000000002,12.364739999999998,16.50055341275912,2422,1888.995165,1,164,2.3656146459415453e-4,5.759999999999934,2.3623520930302675,0.23167708946311505,3428.540000000008,1100.731404048056,-9.334883092258064,2.3656146459415453e-4,5.759999999999934,2.3623520930302675,0.009298597860168234,368.5700000000006,60.149212861903834,113550,0.03820343461030383,-3.2648298561468847,1,0,1,0,0,1,0,0,0,0,0,0,0
15,2010,Audi,Foreign,A3シリーズ,4506,1.4 TFSI,3.1574611398963732,DBA-8PCAX,5,ハイオク,16.6,53362801,10.827745499999999,0.09057971014492754,8.444084484995456e-5,0.9249569564386247,0.32519851163095564,42,34.989126125,0.035985280664045535,599.1200000000001,409.2875979157706,2.0483394725260675,261.9,232.0952675,0.21692094174414786,3615.9300000000003,2736.1069235636533,0.2346188014860281,25.4,24.161380625,16.818433048746915,2527.6,1917.23652925,2,167,0.0016865584876751827,31.400000000000205,3.3011098562790266,0.23359835863816825,3695.459999999992,1114.4359718710257,-9.30145125357322,0.0016865584876751827,31.400000000000205,3.3011098562790266,0.0082520696556046,400.65000000000146,51.470289473936646,133753,0.033688963985854525,-3.3905849734210585,1,0,1,0,0,0,1,0,0,0,0,0,0
15,2011,Audi,Foreign,A3シリーズ,3739,1.4 TFSI,3.1640186915887853,DBA-8PCAX,5,ハイオク,16.6,53783435,10.827745499999999,0.09057971014492754,6.951954630640457e-5,0.9389811007794501,0.29906098344895116,49.4,33.139717499999996,0.02994281879179969,831.48,369.0742923421942,1.938752810065008,276.2,218.56374249,0.2070442477828547,4206.04,2550.9662034341072,0.2084812733040236,32.8,22.311971999999997,15.722896743681806,2464.5,1811.610311865,2,157,3.7915606869102364e-4,18.079999999999927,3.137656116712492,0.22979697433273039,3678.9300000000076,1013.9806804619802,-9.510942676173958,3.7915606869102364e-4,18.079999999999927,3.137656116712492,0.011330750466301998,253.76000000000022,42.28476854151677,143357,0.026081739991768802,-3.646519826673399,1,0,1,0,0,0,0,1,0,0,0,0,0
15,2012,Audi,Foreign,A3シリーズ,3603,1.4 TFSI,3.167307692307692,DBA-8PCAX,5,ハイオク,16.6,54171475,10.827745499999999,0.09057971014492754,6.651101894493366e-5,0.9197618488328037,0.30998383543140573,49.8,33.179137499999996,0.03237690406629354,842.36,370.05068238019413,1.8396859103563474,298.3,215.50878025,0.1825244446706816,4896.57,2484.0165767460976,0.21940412528647818,33.199999999999996,22.351391999999997,16.185120847671307,2659.2999999999997,1891.364785625,2,164,8.344638101315041e-4,15.680000000000064,3.2603866994924715,0.22899931941731122,4818.37000000001,1097.7557243328702,-9.534502423195459,8.344638101315041e-4,15.680000000000064,3.2603866994924715,0.004302541733822607,212.96999999999935,41.36911856438701,159210,0.02263048803467119,-3.788457253741957,1,0,1,0,0,0,0,0,1,0,0,0,0
