"NameID","year","Maker","Type","Name","Sales","Model","Nippyo","price","kata","capacity","FuelType","FuelEfficiency","HH","size","hppw","share","share0","hppw_sum_own","FuelEfficiency_sum_own","size_sum_own","hppw_sqr_sum_own","FuelEfficiency_sqr_sum_own","size_sqr_sum_own","hppw_sum_mkt","FuelEfficiency_sum_mkt","size_sum_mkt","hppw_sqr_sum_mkt","FuelEfficiency_sqr_sum_mkt","size_sqr_sum_mkt","iv_BLP_own_hppw","iv_BLP_own_FuelEfficiency","iv_BLP_own_size","iv_BLP_other_hppw","iv_BLP_other_FuelEfficiency","iv_BLP_other_size","iv_GH_own_hppw","iv_GH_own_FuelEfficiency","iv_GH_own_size","iv_GH_other_hppw","iv_GH_other_FuelEfficiency","iv_GH_other_size"
189,2008,"Toyota","Regular","ノア",57477,"2.0 YY",0,2.02130324543611,"DBA-ZRR70G",5,"レギュラー",13.4,52324877,14.40877125,0.0934640522875817,0.00109846412061322,0.923564101259139,3.84222212989681,581,493.45984625,0.395245005269097,9477.96,6479.77360525685,16.373780489064,2448.6,1872.2713685,1.835727397753,39436.96,22275.9391307519,3.74875807760923,567.6,479.051075,12.5315583591672,1867.6,1378.81152225,0.0177113389013545,910,356.368382362249,0.198658603853736,2531.88,2221.40468935408
189,2009,"Toyota","Regular","ノア",52933,"2.0 YY",0,2.05041666666667,"DBA-ZRR70G",5,"レギュラー",13.4,52877802,14.40877125,0.0934640522875817,0.00100104387848799,0.929189662611165,3.8923568879463,590.5,494.072033125,0.408695630822321,9883.33,6495.02524074215,16.6970933878047,2451.2,1912.1876505,1.89477188385809,39451.98,23050.6041581351,3.79889283565872,577.1,479.663261875,12.8047364998584,1860.7,1418.115617375,0.0217903691590545,1060.77,353.978296559289,0.201923321424835,2506.01000000001,2055.78333849815
189,2010,"Toyota","Regular","ノア",56955,"2.0 YY",0,2.12222797927461,"DBA-ZRR70G",5,"レギュラー",13.6,53362801,14.40877125,0.101935483870968,0.00106731653760079,0.924956956438625,4.15903949272583,626.4,522.427949875,0.443713177472309,10621.12,6905.55356753587,17.1436315603779,2569.6,1952.225655375,1.94621901097712,42192.38,23463.3298474988,4.05710400885486,612.8,508.019178625,12.984592067652,1943.2,1429.7977055,0.0218303289657065,1166.4,362.584165153074,0.195743213427402,2576.06,2136.55700790681
189,2011,"Toyota","Regular","ノア",38855,"2.0 YY",0,2.12663551401869,"DBA-ZRR70G",5,"レギュラー",13.6,53783435,14.40877125,0.101935483870968,0.000722434333173402,0.93898110077945,3.94812396351109,614.8,492.682771125,0.421382355044191,10722.5,6458.18765551562,16.0219577271308,2513.9,1844.750029365,1.81995528176674,43068.89,22207.6743766989,3.84618847964012,601.2,478.273999875,12.0738337636197,1899.1,1352.06725824,0.0217173738463837,1213.38,357.175828061399,0.194360740491159,3071.02999999999,1907.36640510766
189,2012,"Toyota","Regular","ノア",36764,"2.0 YY",0,2.12884615384615,"DBA-ZRR70G",5,"レギュラー",13.6,54171475,14.40877125,0.101935483870968,0.000678659755895515,0.919761848832804,4.23654761212097,688.6,520.2051025,0.45480846990784,12928.34,6715.70892497372,16.4951046831027,2709.1,1924.543923125,1.84789517561898,48757.65,23198.8675910379,4.13461212825001,675,505.79633125,12.2585570709817,2020.5,1404.338820625,0.0275148089643005,1966.74,444.409210225827,0.192778171531383,3991.71,1965.15113515665
189,2013,"Toyota","Regular","ノア",32306,"2.0 YY",0,2.12003105590062,"DBA-ZRR70G",5,"レギュラー",13.6,54594744,14.40877125,0.101935483870968,0.000591741944975509,0.919563190918159,4.08212554268942,681.4,508.54062375,0.427941948532334,13029.22,6578.88343253059,15.8503028046047,2814.9,1891.172852125,1.72818240348778,54138.71,22804.643189078,3.98019005881845,667.8,494.1318525,11.7681772619152,2133.5,1382.632228375,0.0217396214525101,2078.5,436.112640966339,0.179124441267167,5828.37,1918.05749246482
189,2014,"Toyota","Regular","ノア",69605,"2.0 X Vパッケージ",0,2.25782056451613,"DBA-ZRR80G",8,"レギュラー",14.6,55952365,14.523395625,0.0974358974358974,0.0012440046099928,0.918813422810635,3.9332535253999,672.3,499.675736625,0.403805354334898,13102.77,6514.35146173488,16.4547814531103,2924.6,1942.3567615,1.84902536961864,57529.84,23601.0285564933,3.835817627964,657.7,485.152341,12.5215279277104,2252.3,1442.681024875,0.0170753445199541,1998.01,437.535466509287,0.210834165334125,5731.23000000001,1969.40812587241
189,2015,"Toyota","Regular","ノア",53965,"2.0 X Vパッケージ",0,2.239758,"DBA-ZRR80G",8,"レギュラー",14.6,56412140,14.523395625,0.0974358974358974,0.000956620330304789,0.92791704055191,3.6369986102391,643.4,465.63212075,0.374120728242846,12995.46,6127.68065680461,16.2763247925773,3019.4,1924.67783025,1.83305191989363,62351.38,23541.0604791339,3.5395627128032,628.8,451.108725125,12.6393261823382,2376,1459.0457095,0.0166411831574627,2095.1,406.935403854528,0.211083538498221,7261.2,2031.69829574913
189,2016,"Toyota","Regular","ノア",54826,"2.0 X Vパッケージ",0,2.254,"DBA-ZRR80G",8,"レギュラー",14.6,56950757,14.523395625,0.0974358974358974,0.000962691329985306,0.930048041328055,3.8423846746569,721,499.764263875,0.388206037977652,15287.38,6520.21211797861,16.7128200535832,3176.1,1974.399901,1.90525917123814,67586.05,24147.5388741894,3.744948777221,706.4,485.24086825,12.8704353789263,2455.1,1474.635637125,0.0191838042049327,2760.58,440.824690202337,0.233662570266562,8107.39,2003.73687678487
191,2006,"Toyota","Regular","ハイエースワゴン",7049,"2.7 DX ロング ミドルルーフ",0,2.331,"CBA-TRH214W",10,"レギュラー",9.1,51102005,19.153816,0.0790575916230366,0.000137939793164671,0.915227533635911,4.58795974810207,630.9,546.961630875,0.503898058569275,10126.55,7022.55480214796,16.3243080273344,2414.4,1863.32285775,1.77601497080347,38911.12,22009.5113677864,4.50890215647904,621.8,527.807814875,11.7363482792324,1783.5,1316.361226875,0.0534764851748402,2287.81,2211.97129239029,0.172684491405044,6344.88,8951.38385822706
191,2007,"Toyota","Regular","ハイエースワゴン",7016,"2.7 DX ロング ミドルルーフ",0,2.43891666666667,"CBA-TRH214W",10,"レギュラー",9.1,51713048,19.153816,0.0790575916230366,0.00013567175541461,0.920174188920367,4.47956536262237,642,547.716383,0.477344197619709,10416.5,7045.01770413567,16.3660414574522,2417.4,1872.269921125,1.78528594497367,38762.92,22237.8767972557,4.40050777099933,632.9,528.562567,11.8864760948299,1775.4,1324.553538125,0.0440614223482438,2375.74,2205.52142772228,0.184771839451284,6054.14999999999,8843.45834111415
