Maker,Type,Name,year,Sales,Model,Nippyo,price,kata,capacity,FuelType,FuelEfficiency,HH,size,hppw,NameID,share,share0,iv_BLP_own_hppw,iv_BLP_other_hppw,iv_BLP_own_FuelEfficiency,iv_BLP_other_FuelEfficiency,iv_BLP_own_size,iv_BLP_other_size,iv_GH_own_hppw,iv_GH_other_hppw,iv_GH_own_FuelEfficiency,iv_GH_other_FuelEfficiency,iv_GH_own_size,iv_GH_other_size,logit_share,iv_BLP_own_hppw_nest,iv_BLP_other_hppw_nest,iv_BLP_own_FuelEfficiency_nest,iv_BLP_other_FuelEfficiency_nest,iv_BLP_own_size_nest,iv_BLP_other_size_nest,iv_BLP_own_num_nest,iv_BLP_other_num_nest,iv_GH_own_hppw_nest,iv_GH_other_hppw_nest,iv_GH_own_FuelEfficiency_nest,iv_GH_other_FuelEfficiency_nest,iv_GH_own_size_nest,iv_GH_other_size_nest,inside_share,log_inside_share
Audi,Foreign,A1シリーズ,2011,4206,1.4 TFSI,0,2.99803738317757,DBA-8XCAX,4,ハイオク,19.4,53783435,9.947232,0.1025210084033613,14,7.820251718768056e-05,0.93898110077945,0.1965399750455898,15.722896743681806,30.0,2464.5,23.192485499999997,1811.610311865,0.000154423089351,0.2163154793611772,43.83999999999992,5703.330000000002,6.619648953746321,1332.3295934361013,-9.393248794888425,0.19653997504558968,1.639691826616056,30.0,226.79999999999998,23.192485500000004,185.42402499000002,2,16,0.00015442308935109672,0.009064624544873112,43.83999999999992,596.4800000000014,6.619648953746207,76.13911258244161,0.029339341643589083,-3.528825945387868
Audi,Foreign,A1シリーズ,2012,4502,1.4 TFSI,0,2.835,DBA-8XCAX,4,ハイオク,19.4,54171475,9.947232,0.1025210084033613,14,8.310646885653381e-05,0.9197618488328037,0.2074628270280444,16.185120847671307,30.4,2659.2999999999997,23.231905499999996,1891.364785625,0.0003488647640811,0.2206198255885265,39.20000000000027,6457.490000000005,6.811799220866192,1428.5058819125188,-9.311747512476876,0.2074628270280443,1.5297020749249413,30.4,248.5,23.231905499999996,182.32964275,2,16,0.0003488647640811429,0.004663256673022975,39.20000000000027,434.1700000000001,6.811799220866305,69.77417193235169,0.02827711827146536,-3.5657023430233727
Audi,Foreign,A1シリーズ,2013,5071,1.4 TFSI,0,2.823260869565218,DBA-8XCAX,4,ハイオク,19.4,54594744,9.947232,0.1025210084033613,14,9.288439927477268e-05,0.9195631909181587,0.2093073593073593,15.538474436893932,33.300000000000004,2762.2000000000003,23.598341249999997,1857.627278875,0.0003082148432213,0.2016275094940662,31.36999999999989,6612.25999999998,7.591377629259568,1400.559198809744,-9.200298342381247,0.20930735930735916,1.6480318192482004,33.300000000000004,281.7,23.598341249999997,194.85304975,2,17,0.00030821484322135495,0.004674816781924274,31.36999999999989,281.3099999999995,7.5913776292595685,83.58729727730224,0.02642880223479992,-3.633300869788614
Audi,Foreign,A3シリーズ,2006,4830,アトラクション,0,2.918888888888889,GH-8PBSE,5,ハイオク,12.2,51102005,10.815125749999998,0.075,15,9.451683940776884e-05,0.9152275336359113,0.0884353741496598,16.160872653184775,11.2,2391.0,11.605093499999995,1840.9026385,0.0001805092785413,0.2553132574247594,1.0,4557.360000000001,0.6240490460401134,1004.2912029808358,-9.178149970568484,0.08843537414965981,1.8153067744156632,11.2,201.4,11.6050935,209.05321675,1,18,0.00018050927854134508,0.023505976976822662,1.0,67.89999999999964,0.6240490460400849,47.84971969162689,0.028497592749929197,-3.557935660189659
Audi,Foreign,A3シリーズ,2007,3874,アトラクション,0,2.9394444444444447,GH-8PBSE,5,ハイオク,12.2,51713048,10.815125749999998,0.075,15,7.491339516479477e-05,0.9201741889203668,0.2376891054929434,16.0533523519593,23.2,2382.0,22.29586149999999,1839.158933875,0.0056941258969418,0.2528106004588952,1.0399999999999636,4335.919999999998,0.639513896025278,1039.1139366124553,-9.415985551701917,0.2376891054929433,1.7772769144163656,23.2,189.7,22.295861499999994,199.24737175,2,17,0.005694125896941869,0.02421942297066293,1.0399999999999636,67.05000000000018,0.639513896025278,45.79408917182809,0.023911366231521774,-3.733401358553743
Audi,Foreign,A3シリーズ,2008,3683,1.4 TFSI,0,3.0294219066937127,ABA-8PCAX,5,ハイオク,15.8,52324877,10.8277455,0.0905797101449275,15,7.038716975865992e-05,0.9235641012591392,0.2552139962439458,16.027986782675104,24.2,2408.6,23.055507999999996,1838.388115,0.0036792022281792,0.2195564560126044,27.40000000000009,3224.4000000000087,2.381114928536533,1073.2142268209718,-9.481984488621293,0.2552139962439457,1.7062558391625808,24.2,197.8,23.055507999999996,196.11588012500002,2,17,0.0036792022281792874,0.009597529302328323,27.40000000000009,363.7599999999993,2.381114928536533,51.04127662877272,0.026972397782448535,-3.612941240241074
Audi,Foreign,A3シリーズ,2009,4338,1.4 TFSI,0,3.073055555555556,ABA-8PCAX,5,ハイオク,15.8,52877802,10.8277455,0.0905797101449275,15,8.203820574841595e-05,0.9291896626111652,0.1059602649006622,16.50055341275912,13.400000000000002,2422.0,12.364739999999998,1888.995165,0.0002365614645941,0.2316770894631146,5.759999999999934,3428.540000000008,2.3623520930302675,1100.731404048056,-9.334883092258064,0.10596026490066218,1.8064349698030964,13.400000000000002,211.89999999999998,12.36474,209.877535,1,18,0.000236561464594158,0.00929859786016829,5.759999999999934,368.5700000000006,2.3623520930302107,60.14921286190565,0.03820343461030383,-3.2648298561468847
Audi,Foreign,A3シリーズ,2010,4506,1.4 TFSI,0,3.1574611398963732,DBA-8PCAX,5,ハイオク,16.6,53362801,10.8277455,0.0905797101449275,15,8.444084484995456e-05,0.9249569564386249,0.2346188014860281,16.818433048746915,25.4,2527.6,24.161380625,1917.23652925,0.0016865584876751,0.2335983586381682,31.400000000000205,3695.4600000000064,3.301109856278913,1114.4359718710184,-9.30145125357322,0.23461880148602798,1.7231409608951112,25.4,219.89999999999998,24.161380625,197.106141375,2,17,0.0016865584876751827,0.008252069655604544,31.400000000000205,400.65000000000055,3.3011098562790266,51.470289473937555,0.033688963985854525,-3.3905849734210585
Audi,Foreign,A3シリーズ,2011,3739,1.4 TFSI,0,3.1640186915887853,DBA-8PCAX,5,ハイオク,16.6,53783435,10.8277455,0.0905797101449275,15,6.951954630640457e-05,0.93898110077945,0.2084812733040236,15.722896743681806,32.8,2464.5,22.311971999999997,1811.610311865,0.000379156068691,0.2297969743327303,18.079999999999927,3678.930000000008,3.137656116712492,1013.9806804619802,-9.510942676173958,0.2084812733040235,1.639691826616056,32.8,226.79999999999998,22.311972000000004,185.42402499000002,2,16,0.0003791560686910306,0.011330750466302109,18.079999999999927,253.76000000000022,3.137656116712378,42.28476854151677,0.026081739991768802,-3.646519826673399
Audi,Foreign,A3シリーズ,2012,3603,1.4 TFSI,0,3.167307692307692,DBA-8PCAX,5,ハイオク,16.6,54171475,10.8277455,0.0905797101449275,15,6.651101894493366e-05,0.9197618488328037,0.2194041252864781,16.185120847671307,33.199999999999996,2659.2999999999997,22.351391999999997,1891.364785625,0.0008344638101315,0.2289993194173107,15.680000000000064,4818.37000000001,3.2603866994924715,1097.7557243328702,-9.534502423195459,0.21940412528647812,1.5297020749249413,33.199999999999996,248.5,22.351391999999997,182.32964275,2,16,0.0008344638101314902,0.004302541733822551,15.680000000000064,212.96999999999935,3.2603866994925284,41.36911856438746,0.02263048803467119,-3.788457253741957
